Date,Open,High,Low,Close,Adj Close,Volume
2017-01-02,35980.0,36240.0,35880.0,36100.0,30398.375,4650600
2017-01-03,36280.0,36620.0,36020.0,36480.0,30718.35546875,7357650
2017-01-04,36500.0,36520.0,36100.0,36160.0,30448.896484375,7971750
2017-01-05,36060.0,36060.0,35540.0,35560.0,29943.66015625,10967450
2017-01-06,36180.0,36440.0,36040.0,36200.0,30482.580078125,8880950
2017-01-09,36600.0,37500.0,36560.0,37220.0,31341.47265625,13194900
2017-01-10,37280.0,37400.0,37080.0,37240.0,31358.326171875,9099800
2017-01-11,37520.0,38560.0,37420.0,38280.0,32234.0625,12018150
2017-01-12,38000.0,38800.0,37980.0,38800.0,32671.9453125,11669150
2017-01-13,38100.0,38320.0,37460.0,37460.0,31543.57421875,15954450
2017-01-16,36860.0,37820.0,36320.0,36660.0,30869.9296875,16611500
2017-01-17,36580.0,37460.0,36580.0,36960.0,31122.54296875,8150700
2017-01-18,37040.0,37500.0,36620.0,36940.0,31105.7109375,8875400
2017-01-19,37720.0,37920.0,37020.0,37480.0,31560.416015625,9418900
2017-01-20,37120.0,37420.0,36880.0,37200.0,31324.640625,9185000
2017-01-23,37200.0,38060.0,37000.0,38060.0,32048.814453125,8810400
2017-01-24,38120.0,38580.0,37880.0,38160.0,32133.02734375,11048750
2017-01-25,38340.0,39400.0,38320.0,39400.0,33177.16796875,13433850
2017-01-26,39420.0,40000.0,39420.0,39900.0,33598.19921875,15214500
2017-01-31,39900.0,39900.0,39460.0,39460.0,33227.6953125,17992200
2017-02-01,39540.0,39660.0,39040.0,39120.0,32941.3984375,14150400
2017-02-02,39600.0,39660.0,39200.0,39360.0,33143.484375,15029300
2017-02-03,39400.0,39500.0,39180.0,39460.0,33227.6953125,10386350
2017-02-06,39580.0,39660.0,39140.0,39560.0,33311.90625,8860700
2017-02-07,39560.0,39580.0,38760.0,38820.0,32688.78125,14041800
2017-02-08,38740.0,38780.0,38200.0,38400.0,32335.109375,17092950
2017-02-09,38780.0,38840.0,38220.0,38400.0,32335.109375,13694150
2017-02-10,38400.0,38760.0,38300.0,38360.0,32301.427734375,11020750
2017-02-13,37740.0,38060.0,37720.0,37960.0,31964.599609375,11102050
2017-02-14,37960.0,38260.0,37320.0,37580.0,31644.625,13124150
2017-02-15,37080.0,37960.0,37080.0,37720.0,31762.51171875,14191550
2017-02-16,37800.0,38360.0,37780.0,38020.0,32015.126953125,10226350
2017-02-17,37560.0,38040.0,37280.0,37860.0,31880.3984375,15377450
2017-02-20,38220.0,38780.0,38160.0,38660.0,32554.0390625,7485800
2017-02-21,38540.0,39560.0,38420.0,38940.0,32789.82421875,10562600
2017-02-22,39000.0,39340.0,38980.0,39300.0,33092.96484375,8539450
2017-02-23,39020.0,39440.0,39020.0,39180.0,32991.9140625,10217300
2017-02-24,38960.0,39100.0,38060.0,38220.0,32183.54296875,9296850
2017-02-27,38020.0,38140.0,37700.0,38060.0,32048.814453125,9033700
2017-02-28,38060.0,38760.0,37960.0,38440.0,32368.798828125,15088700
2017-03-02,38420.0,39860.0,38420.0,39720.0,33446.6328125,21249800
2017-03-03,39340.0,39720.0,39160.0,39620.0,33362.43359375,12708700
2017-03-06,39220.0,40220.0,39220.0,40080.0,33749.7734375,12234850
2017-03-07,39800.0,40320.0,39800.0,40200.0,33850.82421875,10553250
2017-03-08,40200.0,40620.0,40140.0,40200.0,33850.82421875,12140950
2017-03-09,40200.0,40300.0,40020.0,40200.0,33850.82421875,14372250
2017-03-10,39960.0,40420.0,39860.0,40180.0,33833.984375,10227800
2017-03-13,40040.0,40980.0,40040.0,40600.0,34187.640625,7424100
2017-03-14,40620.0,41540.0,40500.0,41360.0,34827.61328125,11325050
2017-03-15,40800.0,41440.0,40800.0,41400.0,34861.296875,9587850
2017-03-16,41800.0,42180.0,41540.0,41840.0,35231.8046875,9933150
2017-03-17,41800.0,42500.0,41720.0,42400.0,35703.3515625,12602300
2017-03-20,42000.0,42120.0,41740.0,41900.0,35282.32421875,10250050
2017-03-21,41780.0,42680.0,41760.0,42560.0,35838.08203125,14220150
2017-03-22,41600.0,42460.0,41580.0,42460.0,35753.8828125,16427250
2017-03-23,42200.0,42360.0,41700.0,41800.0,35198.109375,15397100
