사용년월,노선번호,노선명,역명,00시승차총승객수,00시하차총승객수,1시승차총승객수,1시하차총승객수,2시승차총승객수,2시하차총승객수,3시승차총승객수,3시하차총승객수,4시승차총승객수,4시하차총승객수,5시승차총승객수,5시하차총승객수,6시승차총승객수,6시하차총승객수,7시승차총승객수,7시하차총승객수,8시승차총승객수,8시하차총승객수,9시승차총승객수,9시하차총승객수,10시승차총승객수,10시하차총승객수,11시승차총승객수,11시하차총승객수,12시승차총승객수,12시하차총승객수,13시승차총승객수,13시하차총승객수,14시승차총승객수,14시하차총승객수,15시승차총승객수,15시하차총승객수,16시승차총승객수,16시하차총승객수,17시승차총승객수,17시하차총승객수,18시승차총승객수,18시하차총승객수,19시승차총승객수,19시하차총승객수,20시승차총승객수,20시하차총승객수,21시승차총승객수,21시하차총승객수,22시승차총승객수,22시하차총승객수,23시승차총승객수,23시하차총승객수
202101,100,100번(하계동~용산구청),을지로4가.베스트웨스턴국도,10,4,1,0,0,0,0,0,0,0,0,0,7,74,17,171,21,204,38,188,54,91,68,98,105,118,89,132,125,103,161,95,137,68,249,94,291,63,162,27,106,14,120,17,45,15,33,9
202101,100,100번(하계동~용산구청),을지로5가.중부시장,3,9,0,0,0,0,0,0,0,0,1,1,7,31,5,36,18,110,21,102,34,96,68,91,84,102,110,129,116,118,103,102,116,93,79,65,109,64,56,34,24,21,42,20,20,18,9,13
202101,100,100번(하계동~용산구청),방산시장.훈련원종합체육관,4,1,0,0,0,0,0,0,0,0,0,0,14,2,11,8,14,4,26,12,32,15,46,30,48,17,72,11,93,36,121,30,145,29,176,16,181,42,84,18,66,6,78,13,54,2,33,0
202101,100,100번(하계동~용산구청),을지로5가.훈련원종합체육관,39,1,2,0,0,0,0,0,0,0,0,1,30,5,56,0,100,10,52,3,60,6,72,2,73,5,104,12,87,10,133,17,191,11,229,8,304,7,177,6,101,3,86,7,82,3,84,5
202101,100,100번(하계동~용산구청),을지로6가.국립중앙의료원,11,31,1,2,0,0,0,0,0,0,0,1,2,26,9,35,8,57,17,52,19,48,26,71,33,84,30,76,59,100,87,95,61,93,62,106,61,143,79,57,90,51,73,37,28,11,17,15
202101,100,100번(하계동~용산구청),광희동,77,15,0,3,0,0,0,0,0,0,0,0,12,25,44,68,131,84,60,67,28,36,29,63,31,50,38,65,61,70,61,71,48,84,39,85,47,91,45,56,45,53,72,52,26,37,62,13
202101,100,100번(하계동~용산구청),퇴계로6가,41,5,0,0,0,0,0,0,0,0,1,0,19,28,33,146,34,399,54,160,36,38,44,32,47,40,72,32,138,38,139,36,94,56,166,34,240,42,175,29,78,24,104,15,124,7,30,5
202101,100,100번(하계동~용산구청),남대문시장앞.이회영활동터,35,9,0,0,0,0,0,0,0,0,1,4,32,37,37,149,41,216,68,286,66,256,110,302,167,269,184,248,158,300,224,220,252,173,246,106,188,84,77,30,81,25,60,37,57,31,48,13
202101,100,100번(하계동~용산구청),한강대교북단.LG유플러스,9,18,0,0,0,0,0,0,0,0,22,51,139,181,285,246,433,407,296,410,165,377,167,393,190,427,202,436,171,509,158,583,247,550,537,668,729,579,247,415,94,334,79,478,29,181,17,70
202101,100,100번(하계동~용산구청),한강대교북단.LG유플러스,0,0,0,0,0,0,0,0,1,0,174,12,104,45,244,120,390,374,395,78,170,41,216,58,183,57,232,64,253,62,232,81,304,98,249,103,326,168,267,115,212,104,449,91,172,41,56,19
202101,100,100번(하계동~용산구청),신용산역,34,7,0,0,0,0,0,0,0,0,17,34,31,93,75,91,88,162,77,233,68,293,83,346,99,383,104,398,104,481,126,593,131,463,148,551,139,620,127,314,71,214,82,290,44,89,46,38
202101,100,100번(하계동~용산구청),신용산역,0,0,0,0,0,0,0,0,1,0,153,66,48,48,213,106,473,200,273,125,156,79,235,71,306,106,446,125,437,162,517,162,611,162,544,166,639,225,553,168,476,113,412,140,116,54,40,20
202101,100,100번(하계동~용산구청),KT용산지사,13,6,0,0,0,0,0,0,0,0,15,9,33,45,84,62,150,128,63,129,54,78,38,109,49,109,60,123,67,113,51,148,51,133,86,162,121,204,51,119,39,72,70,138,27,54,15,23
202101,100,100번(하계동~용산구청),KT용산지사,0,0,0,0,0,0,0,0,0,0,12,62,26,10,15,29,53,45,58,52,48,52,40,66,43,59,66,70,63,83,48,85,67,78,77,76,107,141,80,90,87,70,97,78,25,48,13,14
202101,100,100번(하계동~용산구청),삼각지역,16,7,0,0,0,0,0,0,0,0,1,8,18,75,122,46,171,142,103,129,48,138,52,153,77,172,69,162,70,152,61,209,55,217,102,313,96,343,58,176,45,93,54,136,21,70,24,24
202101,100,100번(하계동~용산구청),삼각지역,0,0,0,0,0,0,0,0,0,0,84,112,65,13,217,58,265,92,147,52,128,39,103,59,113,63,124,54,126,74,151,70,136,76,151,89,164,149,128,105,89,78,138,107,60,47,17,16
202101,100,100번(하계동~용산구청),숙대입구역,25,17,0,0,0,0,0,0,0,0,16,12,86,112,194,219,268,287,192,350,114,241,123,298,121,291,160,312,140,350,109,363,113,348,139,386,140,423,84,210,77,180,97,204,58,98,35,38
202101,100,100번(하계동~용산구청),숙대입구역,0,0,0,0,0,0,0,0,12,1,160,51,90,34,97,63,280,114,160,60,145,73,112,64,153,82,190,77,229,93,214,106,206,99,205,140,274,216,222,166,255,114,297,109,48,27,24,13
202101,100,100번(하계동~용산구청),갈월동,10,8,0,0,0,0,0,0,0,0,1,7,160,94,189,116,260,155,187,176,106,105,105,101,99,64,112,77,96,80,107,87,107,73,103,86,62,85,27,63,28,46,30,79,16,37,15,12
202101,100,100번(하계동~용산구청),갈월동,0,0,0,0,0,0,0,0,11,0,128,33,94,42,88,103,147,78,75,53,53,53,91,45,72,55,102,47,102,64,123,98,99,84,132,85,148,144,93,86,71,82,86,94,25,55,18,31
202101,100,100번(하계동~용산구청),용산구청.크라운호텔,0,0,0,0,0,0,0,0,0,0,17,7,15,51,19,200,46,455,50,237,77,127,90,159,94,169,160,191,165,133,217,154,177,118,282,158,272,114,187,70,183,68,287,98,95,39,21,11
202101,100,100번(하계동~용산구청),용산구청.크라운호텔,0,0,0,0,0,0,0,0,0,0,29,3,35,11,38,5,54,7,53,16,60,3,45,7,77,13,102,20,123,28,112,14,133,12,78,10,121,11,80,12,76,11,92,7,20,17,12,1
202101,100,100번(하계동~용산구청),한강중학교,0,0,0,0,0,0,0,0,0,0,6,58,4,144,21,153,30,269,42,250,53,127,43,204,83,230,66,225,97,214,69,248,107,227,65,234,42,288,24,253,31,180,22,287,16,74,11,31
202101,100,100번(하계동~용산구청),서빙고역1번출구,1,1,0,0,0,0,0,0,0,0,10,142,72,60,177,62,267,91,191,97,75,70,76,100,102,122,70,108,76,126,85,145,111,176,77,228,108,202,131,133,66,133,126,172,46,61,17,34
202101,100,100번(하계동~용산구청),이촌동동부센트레빌,0,0,0,0,0,0,0,0,0,0,14,84,7,104,29,137,24,230,37,179,35,83,27,122,32,132,37,176,49,167,28,201,45,222,49,244,62,322,25,279,7,224,16,248,5,69,0,55
